pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-27,96.1,-2.01,5.76,"Cole, Gerrit",666182,543037,field_out,hit_into_play,,,,,1,"Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,X,6.0,ground_ball,1,1,2023,-0.65,1.52,-0.29,3.28,,,,2,9,Bot,118.38,158.31,,,,,6.058907473630283,-139.78107522337837,-4.395555639654702,-10.025025888107528,35.04574711362696,-11.5110528419667,3.73,1.72,61.0,95.6,1.0,95.9,2332,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.06,0.4,0.364,0.0,1.0,0.0,0.0,4.0,68,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,212,0.0,-0.261,64.6,6.2,0.448,0.261,95.6,-6,-6,0.0,0.0,32,25,33,25,4,3,6.0,1.0,,1.0,0.97,0.65,0.65,41.0
SL,2023-09-27,89.2,-2.05,5.77,"Cole, Gerrit",666182,543037,,ball,,,,,14,"Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,B,,,0,1,2023,0.42,-0.01,1.9,0.3,,,,2,9,Bot,,,,,,,8.800098960863028,-129.4076662056396,-7.321305674681008,2.763541835904371,28.701951854335917,-30.83292243443949,3.66,1.71,,,,88.7,2617,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.21,,,,,,,,68,2,Slider,0,6,0,6,6,0,0,6,Strategic,Standard,137,0.0,0.031,,,,-0.031,,-6,-6,0.0,0.0,32,25,33,25,4,3,6.0,1.0,,1.0,2.91,-0.42,-0.42,38.9
FF,2023-09-27,96.9,-2.16,5.74,"Cole, Gerrit",666182,543037,,called_strike,,,,,8,"Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,S,,,0,0,2023,-0.77,1.42,0.17,2.12,,,,2,9,Bot,,,,,,,7.982454659346885,-140.7331481890142,-7.304154798052965,-12.20636879515443,35.275879937272386,-11.750288239480316,3.72,1.76,,,,96.4,2526,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.13,,,,,,,,68,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,213,0.0,-0.045,,,,0.045,,-6,-6,0.0,0.0,32,25,33,25,4,3,6.0,1.0,,1.0,1.03,0.77,0.77,37.9
FC,2023-09-27,91.0,-2.07,5.82,"Cole, Gerrit",543807,543037,field_out,hit_into_play,,,,,9,George Springer lines out to second baseman Gleyber Torres.,R,R,R,TOR,NYY,X,4.0,line_drive,0,0,2023,0.5,0.7,0.33,1.82,,,,1,9,Bot,138.72,131.24,,,,,4.95178763292569,-132.39909507014195,-5.656886797153227,4.899506089177251,26.75166645727375,-22.91044780640938,3.64,1.67,177.0,92.3,11.0,91.2,2539,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.19,0.777,0.704,0.0,1.0,0.0,0.0,4.0,67,1,Cutter,0,6,0,6,6,0,0,6,Strategic,Standard,180,-0.001,-0.267,75.0,7.9,0.84,0.267,92.3,-6,-6,0.001,0.001,32,33,33,34,4,3,6.0,1.0,,1.0,2.04,-0.5,-0.5,43.6
FF,2023-09-27,97.1,-2.1,5.83,"Cole, Gerrit",595281,543037,strikeout,swinging_strike,,,,,2,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,2.0,,2,2,2023,-0.59,1.49,0.06,3.25,,,,0,9,Bot,,,,,,,7.163978411639829,-141.12480015983076,-4.734398848271324,-9.675415786285226,35.72079788886619,-11.46677963932196,3.45,1.64,,,,97.0,2475,6.6,716413,666163,518934,650402,672724,683011,665828,664314,592450,53.94,,0.0,0.0,1.0,0.0,0.0,,66,8,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,208,-0.002,-0.239,75.1,6.9,,0.239,,-6,-6,0.003,0.003,32,33,33,33,3,2,6.0,1.0,,1.0,0.96,0.59,-0.59,41.5
KC,2023-09-27,83.9,-2.08,5.9,"Cole, Gerrit",595281,543037,,foul,,,,,8,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,2,2,2023,0.77,-1.34,0.2,1.86,,,,0,9,Bot,,,,,,,3.762133287728669,-121.9842808373457,-0.1233110102666354,6.636458987526976,29.88112235566691,-45.543760601240855,3.45,1.64,4.0,89.9,-24.0,83.1,2875,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.12,,,,,,,,66,7,Knuckle Curve,0,6,0,6,6,0,0,6,Infield shade,Standard,39,0.0,0.0,69.7,7.5,,0.0,89.9,-6,-6,0.003,0.003,32,33,33,33,3,2,6.0,1.0,,1.0,4.65,-0.77,0.77,43.6
FC,2023-09-27,91.8,-2.13,5.78,"Cole, Gerrit",595281,543037,,foul,,,,,6,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,2,2,2023,0.34,1.07,0.55,2.42,,,,0,9,Bot,,,,,,,6.066212331914038,-133.5389788650659,-4.995299098824043,2.745700210888055,28.643920234852697,-18.46251166323847,3.45,1.64,153.0,107.4,8.0,92.0,2472,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.05,,,,,,,,66,6,Cutter,0,6,0,6,6,0,0,6,Infield shade,Standard,188,0.0,0.0,75.0,7.8,,0.0,107.4,-6,-6,0.003,0.003,32,33,33,33,3,2,6.0,1.0,,1.0,1.63,-0.34,0.34,41.3
CH,2023-09-27,89.7,-2.18,5.62,"Cole, Gerrit",595281,543037,,ball,,,,,13,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,B,,,1,2,2023,-1.29,0.78,-1.16,1.46,,,,0,9,Bot,,,,,,,5.270407977538971,-130.4301223024453,-5.895208760719844,-15.87912837866894,30.23409718294927,-22.224999803586776,3.37,1.56,,,,89.7,1591,6.6,716413,666163,518934,650402,672724,683011,665828,664314,592450,53.93,,,,,,,,66,5,Changeup,0,6,0,6,6,0,0,6,Infield shade,Standard,235,0.0,0.046,,,,-0.046,,-6,-6,0.003,0.003,32,33,33,33,3,2,6.0,1.0,,1.0,2.08,1.29,-1.29,38.9
FF,2023-09-27,96.6,-2.04,5.8,"Cole, Gerrit",595281,543037,,foul,,,,,3,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,1,2,2023,-0.49,1.52,0.5,2.96,,,,0,9,Bot,,,,,,,7.8705495702464034,-140.4280718819519,-5.439595105321051,-8.337037165863011,33.94827272623292,-11.022272388646618,3.45,1.64,139.0,74.2,69.0,96.4,2479,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.1,,,,,,,,66,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,212,0.0,0.0,69.5,6.7,,0.0,88.0,-6,-6,0.003,0.003,32,33,33,33,3,2,6.0,1.0,,1.0,0.94,0.49,-0.49,41.6
FF,2023-09-27,95.9,-2.1,5.73,"Cole, Gerrit",595281,543037,,ball,,,,,11,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,B,,,0,2,2023,-0.74,1.57,-0.71,4.07,,,,0,9,Bot,,,,,,,5.357108701774447,-139.4862761966837,-2.276034109425543,-10.969995438717486,35.28375231389833,-11.508732020091983,3.19,1.53,,,,95.5,2468,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.13,,,,,,,,66,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,212,0.0,0.024,,,,-0.024,,-6,-6,0.003,0.003,32,33,33,33,3,2,6.0,1.0,,1.0,0.93,0.74,-0.74,37.6
